Mês;Solicitado;Entregue;Taxa
Semana 01 a 09/03/2026;280;245;0,875
Semana 10 a 16/03/2026;155;161;1,038709677
Semana 17 a 23/03/2026;136;156;1,147058824
Semana 24 a 30/03/2026;141;171;1,212765957
