Mês;Solicitado;Entregue;Taxa
Semana 01 a 08/06/2026;296;372;1,256756757
Semana 09 a 16/06/2026;189;191;1,010582011
Semana 17 a 24/06/2026;209;214;1,023923445
Semana 25 a 30/06/2026;106;108;1,018867925
